5.16,2.05,6.46
1.12,8.13,6.42
2.86,4.8,7.32
3.27,0.05,1.87
6.56,5.11,4.34
5.19,1.34,3.89
2.96,6.35,1.22
1.51,1.98,2.72
9.76,2.21,4.61
4.21,7.19,2.34
5.15,3.53,5.48
7.05,7.1,3.71
9.98,5.21,2.19
0.75,4.19,7.52
7.37,6.96,5.02
0.94,9.29,8.48
9.23,3.36,9.7
1.63,4.82,8.85
3.98,5.44,7.89
8.97,6.48,6.48
6.88,0.75,9.72
5.82,7.41,8.38
3.16,5.8,2.2
5.52,0.2,5.24
0.06,7.81,2.8
9.37,7.56,1.07
0.41,6.35,0.06
1.42,2.28,0.36
8.15,2.02,7.04
1.67,3.36,6.62
6.23,2.7,8.86
5.5,0.11,9.23
3.52,4.19,9.27
7.36,2.18,4.3
5.45,3.01,9.28
6.91,9.8,6.82
8.36,2.62,0.81
5.39,2.91,0.37
6.47,7.66,8.14
1.55,0.23,5.83
6.34,2.24,8.51
5.56,3.99,4.55
5.56,7.75,2.93
5.49,1.98,4.73
5.48,2.81,4.48
9.18,1.98,4.28
8.34,5.43,1.23
5.96,8.07,3.62
3.6,3.7,9.64
6.16,1.62,7.39
9.31,8.56,4.63
3.94,5.96,6.17
1.4,0.0,5.88
7.21,0.26,3.15
8.08,3.56,0.37
5.94,7.92,1.87
3.99,4.45,7.91
9.85,2.05,1.09
9.94,2.31,3.8
4.21,3.75,8.88
7.56,0.33,5.02
1.81,6.84,8.77
1.58,8.55,4.59
5.56,3.31,7.64
3.16,0.12,8.47
7.19,0.74,2.72
9.44,1.93,9.86
6.14,7.58,6.45
2.02,7.11,0.2
6.31,3.43,3.34
6.55,4.58,7.49
9.18,8.0,7.63
5.45,5.23,1.5
9.31,5.53,5.55
0.34,4.09,7.79
6.8,3.99,8.85
4.08,8.34,2.85
0.27,9.95,8.92
2.28,4.08,1.88
9.76,8.48,8.15
4.99,8.46,9.25
6.7,2.17,1.28
7.18,1.63,8.75
4.07,4.25,6.65
1.56,3.99,9.26
3.27,7.34,0.31
4.54,1.36,3.93
3.47,2.69,9.3
8.19,1.36,1.65
6.35,7.51,7.1
9.45,6.18,2.87
0.91,5.68,9.63
1.12,3.88,8.58
1.25,8.71,1.67
4.72,7.66,3.08
9.13,4.4,0.2
0.02,4.07,6.82
3.07,3.97,4.05
8.22,8.69,3.97
6.71,0.53,5.01
2.28,0.49,6.97
8.88,9.22,0.37
3.66,1.97,8.04
4.35,3.18,1.92
0.61,1.87,7.55
9.64,3.32,9.06
2.85,1.45,9.4
8.05,4.46,9.58
7.86,9.24,4.11
4.66,8.04,6.1
6.6,0.53,8.78
4.05,5.4,5.17
6.8,0.01,2.86
8.5,8.47,8.41
8.48,9.75,7.5
4.29,5.5,1.24
0.24,1.97,8.0
4.36,7.12,4.4
7.53,7.7,3.09
8.65,8.4,8.06
1.32,2.15,0.25
8.84,4.22,1.07
3.6,2.21,6.56
9.28,9.59,4.11
7.91,4.28,2.27
7.95,2.25,3.76
2.36,9.46,1.55
6.4,4.09,7.32
4.78,1.03,3.72
4.13,9.64,9.83
7.92,6.12,7.03
7.96,1.67,4.03
4.92,5.15,5.29
9.31,3.17,6.49
5.62,7.97,9.54
8.37,7.92,0.73
2.31,1.12,5.25
5.16,9.68,9.62
3.82,7.02,0.3
2.91,2.7,0.67
3.89,6.02,0.6
7.98,8.93,7.98
6.18,8.34,5.22
5.16,4.36,5.56
4.04,1.86,8.08
2.83,6.14,6.09
5.74,7.71,3.15
0.45,7.94,2.27
4.17,6.65,8.72
0.75,9.91,8.73
2.3,3.64,0.45
8.21,3.13,2.16
2.44,5.41,4.01
6.21,7.11,9.05
3.89,8.48,3.45
6.43,8.68,4.08
2.73,5.77,8.87
2.8,4.0,9.72
2.5,7.21,8.13
8.55,0.34,3.0
8.7,5.92,7.44
9.24,0.98,0.82
1.96,7.65,3.0
4.79,3.53,4.41
5.14,0.77,5.04
5.95,9.82,4.14
1.71,7.69,7.95
0.84,8.69,1.51
0.93,5.21,4.11
2.05,7.2,4.0
0.19,0.77,5.04
4.34,8.24,1.08
0.33,7.92,9.91
1.54,2.09,9.06
5.12,5.17,8.32
2.23,6.03,3.75
9.73,1.07,4.22
2.66,3.11,1.58
9.59,8.0,7.45
5.76,8.83,4.24
1.99,1.31,7.66
1.64,7.69,8.94
7.76,2.14,9.18
4.36,4.69,4.73
6.64,2.93,3.35
3.82,2.89,8.79
3.37,0.19,5.32
4.34,5.04,0.59
7.29,7.82,2.42
2.96,0.99,9.63
4.65,2.36,4.42
6.76,3.99,7.72
6.9,2.36,6.81
9.24,7.68,9.74
1.7,4.98,2.41
1.79,6.9,6.16
9.77,4.44,0.08
5.22,8.21,0.18
2.87,6.21,8.77
6.61,0.15,1.8
2.96,7.92,6.04
2.76,9.09,0.13
6.52,6.47,2.28
4.76,3.39,1.74
3.83,8.45,1.06
1.18,3.56,8.39
6.82,2.88,6.4
3.7,4.2,9.17
2.88,2.9,2.3
6.85,6.66,8.3
5.84,2.23,1.95
2.12,9.56,2.67
3.19,3.31,9.43
7.79,0.34,5.76
5.12,8.55,8.33
5.23,0.29,2.46
2.61,1.42,3.45
6.61,1.12,8.47
7.69,1.35,1.24
5.43,6.43,7.67
6.13,8.91,0.95
3.77,9.23,5.1
7.84,9.26,9.46
9.46,6.09,8.17
2.29,3.4,9.04
9.89,9.25,7.6
4.28,0.29,3.5
9.07,1.06,2.69
8.1,9.6,3.36
9.96,2.44,2.95
9.46,0.93,0.67
8.69,0.53,9.97
5.21,0.22,2.63
8.73,8.49,9.84
3.8,7.36,3.29
2.09,8.0,9.0
9.84,3.21,0.29
6.23,7.95,2.37
9.1,8.35,5.81
4.11,1.69,8.28
5.45,4.51,6.13
4.82,0.13,4.32
0.36,7.48,3.63
0.66,5.56,6.73
5.52,7.33,7.7
1.92,2.76,8.66
4.96,5.32,1.01
6.7,6.72,8.29
1.22,6.14,4.38
3.74,3.59,0.24
8.29,2.96,4.99
0.71,6.48,0.42
6.72,4.71,6.51
7.63,6.99,7.74
1.71,0.08,5.94
1.86,1.84,6.73
4.25,8.23,2.09
8.57,9.08,2.84
3.41,7.91,1.43
8.36,7.16,1.64
3.21,8.88,7.86
2.69,0.9,1.06
3.05,3.27,4.87
7.9,0.76,5.93
8.55,6.41,2.4
7.08,6.93,1.09
8.23,1.79,0.55
9.27,2.54,2.01
3.42,1.74,6.11
9.71,9.01,2.93
1.19,9.46,8.22
2.32,0.1,5.13
8.68,4.65,5.96
6.02,6.25,0.8
3.62,2.09,2.5
9.55,9.16,4.94
1.09,9.18,8.61
6.52,9.66,2.67
4.62,1.82,2.08
9.46,2.69,1.63
8.67,1.14,9.79
6.77,6.3,6.09
9.2,8.1,8.52
3.76,3.5,1.24
8.09,2.82,6.87
6.49,3.87,8.62
1.75,3.24,8.18
0.6,0.71,6.43
8.53,5.59,8.8
6.2,6.21,7.1
3.67,5.55,1.3
6.39,8.07,4.34
6.19,2.41,2.46
6.55,9.62,4.84
7.46,9.91,0.71
2.48,8.3,0.03
5.55,4.72,0.62
7.51,7.52,3.98
8.6,4.43,6.35
8.04,9.44,6.15
5.75,7.32,6.18
3.29,3.19,4.09
4.19,9.59,10.0
4.86,6.75,0.03
7.13,4.52,8.65
4.6,5.27,7.1
1.35,3.06,4.13
9.68,0.64,2.24
6.58,7.72,4.12
6.61,7.1,2.76
2.59,2.28,3.49
9.77,1.07,1.4
5.42,7.36,0.34
9.21,3.69,7.58
2.38,5.32,7.8
9.29,5.76,2.05
2.15,3.59,2.8
6.49,1.54,3.81
3.81,7.24,9.85
7.31,3.28,0.68
6.22,1.94,9.69
0.55,1.7,3.82
6.06,8.09,3.78
0.89,9.05,1.55
1.41,8.83,7.82
1.06,8.71,6.06
0.37,3.74,5.58
8.98,3.58,2.59
8.99,2.6,9.33
0.37,5.78,0.05
2.39,9.86,7.84
6.92,3.35,4.96
8.95,2.57,8.31
8.93,4.3,9.26
1.89,2.08,8.12
7.47,6.88,1.93
7.79,2.92,4.03
0.25,7.78,8.4
4.66,9.23,8.09
